;day;hour;minute;fail_fee;amount;3D_secured;enc_PSP;enc_card;enc_weekday;current_number_of_try
43891;20;17;17;0,5;67;0;2;1;6;1
10262;11;7;2;5,0;165;1;0;1;0;1
49461;27;22;19;1,0;218;0;3;0;6;1
29194;3;20;20;0,5;105;0;2;1;3;1
43331;20;1;25;2,0;117;0;1;1;6;1
11029;12;5;32;2,0;9;0;1;1;2;1
43079;19;17;6;1,0;167;0;3;2;5;2
3979;4;10;22;0,5;364;0;2;1;0;2
7090;7;22;37;1,0;233;1;3;1;1;2
37619;12;21;41;2,0;279;0;1;0;5;1
34480;9;3;2;1,0;235;1;3;1;2;1
17721;21;1;23;0,5;138;0;2;1;1;1
42231;18;17;13;0,5;103;0;2;2;1;1
23647;28;20;10;1,0;41;0;3;1;1;2
40319;16;2;51;2,0;205;0;1;1;2;1
16773;19;14;2;0,5;255;1;2;1;2;1
28070;2;16;19;2,0;330;0;1;1;2;1
14614;16;19;5;1,0;35;1;3;0;6;3
24872;30;6;0;1,0;284;1;3;1;6;1
37816;13;2;39;1,0;409;0;3;1;6;7
25044;30;11;26;1,0;105;0;3;2;6;1
44887;21;22;31;1,0;304;0;3;2;4;1
7104;7;23;1;0,5;104;0;2;0;1;1
17757;21;2;2;0,5;294;0;2;1;1;1
16437;19;3;4;1,0;253;0;3;2;2;1
4056;4;12;21;1,0;281;0;3;1;0;4
48750;27;1;19;1,0;69;0;3;1;6;2
14361;16;11;52;5,0;107;0;0;0;6;1
7191;8;0;57;1,0;80;0;3;1;5;2
33508;8;0;36;0,5;151;0;2;0;0;4
938;1;17;41;1,0;264;0;3;2;5;6
18338;21;18;30;2,0;256;1;1;1;1;1
24317;29;14;57;1,0;197;1;3;1;5;1
32061;6;13;28;1,0;225;0;3;1;6;2
1072;1;20;19;1,0;206;1;3;1;5;3
43627;20;10;18;2,0;167;0;1;1;6;1
34882;9;15;27;0,5;143;0;2;1;2;1
32422;6;22;5;1,0;114;0;3;1;6;2
46839;24;18;42;0,5;227;0;2;2;3;5
19002;22;13;12;1,0;297;0;3;1;5;4
16243;18;20;15;1,0;12;1;3;2;0;1
28279;2;21;8;1,0;58;0;3;2;2;1
26772;1;11;18;1,0;99;0;3;0;0;1
20277;24;2;4;1,0;113;0;3;0;4;5
45544;22;19;50;0,5;167;0;2;1;0;1
20153;23;22;2;1,0;104;1;3;0;6;1
38109;13;9;53;1,0;268;0;3;2;6;2
30055;4;15;49;1,0;178;0;3;1;1;2
19101;22;16;5;1,0;264;1;3;1;5;1
90;1;1;38;1,0;324;0;3;2;5;1
33275;7;18;57;1,0;163;0;3;0;4;2
23479;28;14;58;1,0;213;0;3;0;1;2
12728;14;16;11;1,0;232;0;3;0;1;1
13791;15;19;25;1,0;153;0;3;1;5;2
44616;21;13;23;0,5;175;1;2;1;4;1
36217;11;10;33;1,0;301;0;3;0;1;2
498;1;9;44;1,0;113;0;3;2;5;2
22667;27;11;54;1,0;17;1;3;0;3;4
16100;18;16;14;1,0;149;0;3;2;0;1
32734;7;5;28;0,5;227;0;2;2;4;1
48249;26;11;33;0,5;286;0;2;1;5;1
40663;16;14;20;0,5;151;0;2;1;2;1
21130;25;3;45;1,0;222;0;3;0;0;2
13477;15;10;44;0,5;226;0;2;1;5;2
38886;14;7;10;0,5;233;0;2;1;4;2
30892;5;10;39;0,5;169;1;2;1;5;3
5145;5;15;50;5,0;33;0;0;2;2;1
43226;19;22;1;5,0;122;1;0;2;5;1
14926;17;3;7;1,0;170;0;3;1;4;1
7487;8;8;27;1,0;92;0;3;1;5;1
34137;8;17;25;2,0;155;0;1;1;0;1
21003;25;0;8;5,0;253;0;0;1;0;1
21617;25;20;50;1,0;186;0;3;1;0;8
29596;4;5;46;5,0;301;0;0;1;1;1
41333;17;14;30;0,5;338;1;2;0;3;1
21750;26;1;4;5,0;253;0;0;1;2;1
6493;7;8;27;1,0;207;0;3;1;1;1
22408;27;1;26;0,5;263;0;2;0;3;1
26174;31;21;18;0,5;182;0;2;1;4;1
25691;31;6;26;1,0;330;1;3;1;4;5
40402;16;5;47;1,0;35;1;3;1;2;5
41467;17;18;56;1,0;200;0;3;1;3;1
38924;14;8;17;0,5;122;0;2;1;4;1
4645;5;2;14;1,0;373;0;3;1;2;1
37764;13;1;24;5,0;144;0;0;1;6;1
25980;31;15;36;1,0;94;0;3;1;4;1
35564;10;15;33;0,5;128;0;2;1;3;1
19587;23;6;14;1,0;173;0;3;0;6;2
5757;6;10;46;5,0;138;0;0;0;3;1
41702;18;2;25;1,0;50;0;3;2;1;1
19263;22;20;30;5,0;105;0;0;1;5;1
21289;25;9;2;1,0;62;0;3;0;0;1
6140;6;23;22;1,0;194;0;3;2;3;2
6912;7;18;52;2,0;260;0;1;1;1;1
45888;23;8;1;0,5;249;0;2;0;2;2
13625;15;14;53;1,0;112;1;3;0;5;1
31117;5;15;37;2,0;160;1;1;0;5;1
31420;5;22;36;1,0;428;0;3;1;5;1
46461;24;2;28;2,0;256;1;1;2;3;3
31088;5;15;6;0,5;137;1;2;1;5;1
7361;8;5;12;1,0;230;1;3;2;5;1
17737;21;1;40;1,0;180;0;3;0;1;6
1457;2;4;27;2,0;152;1;1;1;6;1
5201;5;17;40;1,0;73;1;3;1;2;2
12136;13;22;44;1,0;37;0;3;0;3;1
19756;23;10;56;1,0;107;0;3;1;6;1
29368;4;1;9;5,0;131;0;0;2;1;1
48094;26;8;3;0,5;125;0;2;2;5;1
32814;7;7;18;1,0;296;1;3;2;4;1
29397;4;1;48;1,0;227;1;3;1;1;2
1796;2;11;39;1,0;46;1;3;2;6;3
39380;14;22;34;2,0;43;0;1;1;4;1
17193;20;4;46;2,0;178;1;1;1;3;2
3018;3;13;5;0,5;311;0;2;1;4;1
12532;14;10;14;0,5;125;0;2;1;1;1
48303;26;12;48;5,0;192;0;0;0;5;1
34730;9;10;44;2,0;218;0;1;2;2;1
28468;3;1;42;0,5;271;0;2;1;3;1
17657;20;23;27;1,0;50;0;3;2;3;2
28821;3;11;5;1,0;197;0;3;1;3;2
49636;28;3;16;1,0;323;0;3;2;4;1
44649;21;14;44;1,0;298;0;3;2;4;1
6703;7;13;53;1,0;208;0;3;2;1;3
32233;6;17;55;0,5;175;1;2;1;6;1
49159;27;13;26;0,5;166;1;2;1;6;2
31096;5;15;14;1,0;357;1;3;1;5;4
2645;3;4;47;1,0;235;0;3;2;4;1
22087;26;13;34;1,0;25;0;3;1;2;4
19051;22;14;44;1,0;152;1;3;1;5;1
186;1;3;35;1,0;291;0;3;1;5;2
26798;1;11;52;0,5;370;0;2;2;0;1
8106;8;22;44;1,0;316;0;3;2;5;2
2166;2;19;27;1,0;215;0;3;1;6;1
6316;7;3;49;0,5;161;1;2;1;1;2
30309;4;21;29;1,0;215;1;3;1;1;1
24025;29;6;58;0,5;154;0;2;2;5;2
41279;17;12;53;0,5;37;0;2;0;3;1
49706;28;5;28;1,0;202;0;3;1;4;2
30672;5;5;46;2,0;195;0;1;1;5;1
15411;17;17;9;1,0;80;0;3;0;4;2
45925;23;9;9;1,0;202;1;3;0;2;2
16201;18;19;7;0,5;231;1;2;1;0;1
29226;3;21;25;1,0;353;0;3;0;3;1
4932;5;10;1;1,0;336;0;3;1;2;3
280;1;5;24;0,5;247;1;2;1;5;2
23969;29;5;3;1,0;185;1;3;0;5;1
34053;8;15;23;1,0;124;0;3;1;0;1
40416;16;6;15;2,0;136;1;1;1;2;3
39969;15;16;40;1,0;159;0;3;2;0;1
11396;12;17;0;2,0;189;0;1;1;2;1
10491;11;13;56;2,0;238;1;1;0;0;3
37091;12;8;14;0,5;132;0;2;2;5;1
19721;23;10;1;1,0;243;0;3;1;6;1
3723;4;4;45;0,5;103;0;2;2;0;1
24851;30;5;22;1,0;106;0;3;1;6;1
18446;21;21;3;0,5;176;1;2;1;1;4
45231;22;9;38;0,5;241;0;2;2;0;3
3281;3;18;41;2,0;135;0;1;0;4;2
20066;23;19;46;1,0;61;0;3;1;6;2
40138;15;21;6;1,0;145;1;3;2;0;2
44445;21;8;36;0,5;269;0;2;1;4;1
7732;8;13;53;1,0;581;0;3;1;5;3
45197;22;8;43;1,0;78;0;3;1;0;1
48901;27;5;42;1,0;193;0;3;2;6;1
9701;10;17;11;1,0;388;0;3;1;4;7
18115;21;12;19;1,0;124;0;3;1;1;1
14064;16;3;8;1,0;337;0;3;1;6;1
6319;7;3;52;1,0;240;1;3;0;1;1
10118;11;3;23;2,0;235;0;1;1;0;1
37033;12;6;31;1,0;302;1;3;2;5;3
2845;3;8;59;2,0;189;0;1;0;4;1
25234;30;16;57;2,0;221;0;1;1;6;2
38776;14;4;10;1,0;339;0;3;0;4;2
37516;12;19;19;0,5;333;0;2;2;5;1
3578;4;1;17;1,0;320;0;3;1;0;2
25054;30;11;50;0,5;151;0;2;1;6;1
27619;2;5;42;2,0;169;0;1;2;2;2
14398;16;13;3;1,0;216;0;3;2;6;3
45254;22;10;31;1,0;150;1;3;1;0;2
30265;4;20;31;1,0;125;0;3;1;1;6
682;1;12;57;1,0;88;1;3;1;5;3
42055;18;12;15;2,0;167;0;1;0;1;1
4230;4;16;35;1,0;87;0;3;1;0;3
5935;6;16;34;0,5;300;0;2;2;3;1
39738;15;9;57;0,5;145;1;2;0;0;1
20000;23;17;51;5,0;165;1;0;0;6;1
11070;12;6;33;1,0;155;1;3;1;2;1
5001;5;12;11;1,0;126;0;3;1;2;1
2923;3;10;24;1,0;111;0;3;0;4;2
30074;4;16;10;1,0;16;1;3;2;1;4
18332;21;18;24;5,0;79;0;0;1;1;1
30240;4;20;2;2,0;218;1;1;1;1;1
2691;3;5;54;1,0;461;0;3;2;4;3
7827;8;15;58;0,5;45;0;2;0;5;1
4811;5;7;3;1,0;133;0;3;1;2;2
35782;10;23;34;5,0;225;0;0;1;3;1
3446;3;21;56;1,0;276;0;3;0;4;2
39333;14;20;59;1,0;84;0;3;1;4;1
12350;14;5;22;1,0;37;0;3;0;1;2
31737;6;6;5;1,0;135;1;3;0;6;1
34715;9;10;12;1,0;75;0;3;1;2;2
8156;8;23;53;1,0;208;0;3;0;5;1
28751;3;9;30;0,5;113;1;2;0;3;1
16027;18;13;57;0,5;247;0;2;1;0;3
44665;21;15;7;1,0;280;0;3;1;4;1
49529;28;0;10;1,0;223;0;3;1;4;2
50057;28;15;37;1,0;237;1;3;1;4;1
39173;14;16;31;0,5;114;0;2;1;4;1
21745;26;0;51;1,0;293;0;3;0;2;1
22046;26;12;19;1,0;61;0;3;1;2;2
25320;30;19;39;2,0;316;0;1;1;6;1
44727;21;16;58;1,0;246;0;3;0;4;3
43448;20;4;43;1,0;242;0;3;1;6;1
21728;26;0;18;1,0;259;0;3;2;2;1
1231;1;23;27;1,0;267;0;3;1;5;3
7751;8;14;21;1,0;233;0;3;1;5;3
108;1;1;57;0,5;190;0;2;0;5;2
40589;16;12;8;0,5;178;0;2;1;2;1
34476;9;2;55;1,0;122;0;3;1;2;3
34655;9;8;19;1,0;269;0;3;1;2;1
26702;1;9;50;2,0;90;0;1;1;0;2
18285;21;17;14;1,0;117;0;3;1;1;1
3529;3;23;55;1,0;67;0;3;0;4;1
3110;3;15;20;2,0;348;0;1;2;4;1
22182;26;17;28;0,5;180;0;2;2;2;1
46076;23;14;12;1,0;211;1;3;1;2;5
25627;31;4;44;1,0;26;0;3;1;4;1
45509;22;18;20;2,0;53;0;1;1;0;1
45439;22;16;27;1,0;294;0;3;2;0;1
17726;21;1;30;0,5;154;0;2;1;1;1
12347;14;5;19;1,0;73;0;3;1;1;3
20512;24;9;12;0,5;78;0;2;1;4;3
20189;23;23;8;1,0;117;0;3;1;6;2
14608;16;18;55;1,0;87;0;3;1;6;1
23041;28;2;39;0,5;72;0;2;1;1;2
13645;15;15;28;0,5;284;1;2;0;5;2
1396;2;3;15;0,5;286;0;2;1;6;3
28863;3;12;17;2,0;266;0;1;1;3;2
19854;23;13;48;1,0;240;0;3;1;6;2
27316;1;22;50;1,0;377;1;3;2;0;1
18663;22;3;24;1,0;255;1;3;0;5;2
45150;22;7;8;1,0;204;0;3;1;0;2
3141;3;15;56;2,0;298;1;1;1;4;1
42559;19;2;50;1,0;166;0;3;1;5;1
41232;17;10;59;1,0;246;0;3;1;3;2
23882;29;2;51;1,0;269;0;3;0;5;1
16993;19;21;7;5,0;99;0;0;2;2;1
7336;8;4;38;1,0;269;0;3;1;5;3
25484;31;0;20;1,0;183;0;3;2;4;1
41538;17;21;29;1,0;179;0;3;0;3;3
4289;4;17;52;1,0;279;0;3;2;0;2
38309;13;15;7;1,0;161;0;3;0;6;1
6663;7;12;49;1,0;140;0;3;1;1;1
19771;23;11;21;0,5;222;0;2;1;6;1
36944;12;4;35;1,0;152;0;3;1;5;1
2086;2;17;42;1,0;170;1;3;0;6;2
3202;3;17;18;1,0;92;0;3;1;4;6
46147;23;16;17;0,5;247;1;2;0;2;2
30460;5;1;29;0,5;342;0;2;1;5;1
10444;11;12;28;1,0;236;0;3;1;0;4
49922;28;12;2;1,0;99;0;3;0;4;1
39473;15;1;28;2,0;161;0;1;1;0;2
24157;29;10;46;5,0;224;0;0;1;5;1
30765;5;7;48;1,0;325;0;3;1;5;1
8288;9;3;31;2,0;191;1;1;2;6;4
33810;8;8;23;1,0;254;0;3;1;0;1
33544;8;1;25;2,0;315;0;1;1;0;2
29801;4;10;36;2,0;198;0;1;1;1;1
2323;2;22;37;1,0;266;0;3;1;6;1
35721;10;20;53;1,0;164;0;3;0;3;3
14532;16;16;40;1,0;245;0;3;1;6;1
39489;15;1;49;1,0;43;0;3;1;0;1
36896;12;3;30;1,0;295;0;3;1;5;4
39285;14;19;30;0,5;232;0;2;1;4;1
21222;25;6;57;1,0;80;0;3;1;0;2
24913;30;7;11;0,5;208;0;2;1;6;1
10365;11;9;39;1,0;275;0;3;1;0;2
22533;27;6;18;0,5;219;0;2;1;3;4
6753;7;15;11;1,0;143;0;3;2;1;2
8480;9;8;38;0,5;195;0;2;0;6;9
22079;26;13;24;0,5;36;0;2;1;2;1
34630;9;7;37;1,0;242;0;3;2;2;1
33962;8;12;18;0,5;334;0;2;1;0;1
36251;11;11;12;2,0;185;0;1;1;1;2
49681;28;4;44;0,5;141;0;2;1;4;3
38493;13;19;58;1,0;75;0;3;1;6;1
31014;5;13;28;1,0;194;0;3;0;5;6
18661;22;3;21;0,5;225;0;2;2;5;1
10855;12;0;12;0,5;280;0;2;1;2;2
14200;16;7;21;1,0;26;0;3;1;6;2
45158;22;7;17;2,0;56;0;1;1;0;1
39652;15;7;17;0,5;153;0;2;0;0;1
4546;4;23;43;0,5;93;0;2;1;0;1
16511;19;5;31;0,5;363;0;2;1;2;1
33492;8;0;17;1,0;310;0;3;2;0;2
42186;18;16;6;0,5;103;0;2;1;1;3
6149;6;23;36;0,5;132;1;2;0;3;3
39305;14;20;9;0,5;280;0;2;1;4;2
28888;3;12;48;0,5;97;0;2;2;3;4
44753;21;17;53;1,0;297;0;3;0;4;1
37267;12;13;11;2,0;93;0;1;0;5;1
8632;9;12;22;1,0;183;0;3;0;6;1
22348;26;23;35;1,0;189;0;3;1;2;1
20427;24;6;15;2,0;281;0;1;1;4;2
22600;27;8;54;0,5;219;1;2;2;3;1
13400;15;8;58;1,0;158;0;3;2;5;1
40741;16;16;8;1,0;228;0;3;1;2;6
