;amount;current_paid_fee;day;hour;minute;second
16529;122;6;18;5;22;12
19815;62;0;22;11;52;17
15884;219;0;17;9;7;14
14889;364;2;16;1;33;58
37026;215;17;11;5;15;9
23687;70;0;27;20;23;58
22141;243;0;25;14;35;56
35574;268;3;9;13;56;5
45816;288;12;22;3;16;33
4546;206;0;3;23;33;12
38986;192;5;13;8;23;3
47701;65;0;24;19;5;20
42258;200;3;17;16;25;27
6149;341;1;5;23;16;32
11044;140;2;11;5;30;25
28010;320;4;1;14;14;29
44828;112;0;20;18;14;13
37330;308;0;11;13;29;16
8632;255;0;8;12;0;8
11832;131;0;12;9;26;44
30661;172;0;4;4;17;7
22664;367;0;26;10;53;13
19312;170;0;21;21;0;28
13294;288;0;14;5;44;28
25846;298;0;30;9;55;31
33908;295;4;7;9;37;25
48115;364;10;25;6;28;38
35424;172;2;9;7;53;47
29397;161;0;3;0;55;46
35924;142;0;10;1;51;58
1323;134;0;1;1;41;43
17348;162;0;19;9;2;3
44939;347;0;20;22;8;47
15431;253;0;16;17;6;21
15480;209;0;16;19;6;14
22603;322;2;26;8;7;22
47405;215;4;24;10;0;54
10351;204;2;10;8;54;10
45823;321;0;22;3;28;19
14528;290;0;15;15;47;33
608;0;2;0;11;38;16
12990;257;19;13;22;18;33
43877;265;0;19;15;24;11
48834;94;7;26;1;25;54
42104;343;0;17;12;1;24
20366;361;0;23;3;49;27
17052;226;0;18;22;7;22
42445;249;0;17;21;35;29
13270;124;2;14;5;12;23
37734;111;0;11;23;18;32
46986;178;0;23;22;3;56
17531;135;0;19;16;28;39
34292;224;1;7;19;54;49
383;169;0;0;7;47;48
48296;202;2;25;10;54;9
37754;3;0;11;23;50;3
36467;320;0;10;15;27;3
47246;179;0;24;5;57;32
23626;124;0;27;18;49;15
18810;103;1;21;6;45;13
13611;342;3;14;13;45;16
14278;214;4;15;8;48;24
42747;252;0;18;6;15;41
475;252;6;0;9;21;55
49760;169;2;27;4;47;29
18668;254;2;21;2;48;45
12130;183;2;12;21;45;25
48650;287;4;25;20;33;49
1467;294;0;1;4;41;42
40178;244;4;14;20;31;51
6724;156;0;6;14;7;15
11821;46;0;12;9;0;24
37175;252;0;11;9;6;52
45915;256;2;22;6;31;7
25528;142;4;30;0;37;58
14774;52;0;15;22;12;34
8122;310;12;7;22;45;54
44502;166;0;20;8;25;3
7600;458;0;7;10;39;23
10422;333;1;10;11;18;23
44469;181;0;20;7;23;15
44792;240;6;20;16;58;29
15388;263;0;16;16;0;48
3303;173;0;2;18;59;37
6342;269;0;6;4;7;12
39371;129;2;13;20;21;2
49982;231;2;27;11;30;38
923;149;0;0;17;27;18
31341;311;0;4;19;43;57
3601;55;9;3;1;29;53
40547;318;0;15;8;41;0
3875;0;0;3;7;49;42
6868;142;0;6;17;39;29
11348;142;0;11;15;0;23
7028;151;6;6;20;53;33
26971;193;0;0;14;37;50
4346;216;0;3;19;3;53
25949;329;0;30;13;31;11
21245;291;6;24;6;52;12
42217;296;0;17;15;8;1
8541;314;4;8;9;55;18
6006;276;0;5;18;34;51
19473;231;2;22;1;50;52
37604;194;2;11;20;0;16
40101;299;2;14;18;19;15
49373;276;0;26;17;38;38
16826;212;0;18;15;11;1
30882;95;8;4;9;24;39
2625;211;2;2;4;11;31
32785;221;1;6;5;28;57
39327;193;0;13;19;9;1
43737;230;2;19;11;39;59
42836;288;2;18;8;45;46
14880;173;2;16;1;22;25
46264;260;4;22;17;58;41
20807;33;0;23;17;42;37
48531;291;0;25;17;22;18
36481;16;0;10;15;45;24
15142;416;2;16;8;44;54
26810;173;0;0;11;28;48
19241;304;0;21;19;27;15
15017;220;0;16;4;53;43
14957;240;2;16;3;22;58
15039;125;0;16;5;48;47
42613;54;8;18;2;30;9
32951;338;1;6;9;24;29
38334;134;0;12;14;5;39
5784;192;0;5;11;15;20
49367;154;0;26;17;26;21
43829;115;4;19;13;49;22
42653;317;0;18;3;51;22
7989;202;0;7;19;38;13
24441;255;0;28;17;23;53
34809;79;0;8;11;34;45
2357;158;1;1;23;9;11
42200;125;4;17;14;44;42
46684;115;10;23;9;39;33
1398;174;4;1;3;12;9
10915;199;2;11;1;39;38
30421;295;0;3;22;56;53
47620;284;14;24;16;14;14
28259;166;6;1;19;48;13
9279;165;0;9;5;4;36
34979;213;2;8;16;57;7
42254;409;0;17;16;21;41
41646;202;0;16;23;10;38
26983;298;1;0;14;52;41
22048;105;0;25;11;15;45
37773;214;0;12;0;10;33
21457;170;0;24;14;7;20
37877;218;0;12;2;50;19
47216;218;1;24;5;4;11
470;302;0;0;9;16;28
32404;223;4;5;20;39;45
33847;308;0;7;7;54;15
48815;322;0;26;1;5;50
9038;92;4;8;22;55;35
35939;94;0;10;2;15;27
20879;198;0;23;19;45;38
19969;212;0;22;16;8;58
30904;229;0;4;9;59;38
14764;126;0;15;22;1;23
37839;111;0;12;2;0;5
7969;426;2;7;19;11;8
43170;309;7;18;18;2;40
43633;211;0;19;8;25;45
39125;103;0;13;12;48;55
31865;121;6;5;7;58;30
32884;200;0;6;7;45;2
44868;201;0;20;19;34;32
43308;192;0;18;22;48;11
12909;252;1;13;20;28;41
18870;134;0;21;7;59;13
3643;113;0;3;2;30;1
9724;99;2;9;17;23;15
33883;143;10;7;8;56;0
33095;199;0;6;12;54;28
47943;321;0;25;1;33;33
8501;268;0;8;8;48;19
45797;193;0;22;2;44;11
9392;263;0;9;8;24;16
3248;90;0;2;18;1;35
8913;161;4;8;19;37;34
44950;171;0;20;22;29;45
10427;220;2;10;11;23;22
48152;190;8;25;7;33;36
32303;199;6;5;18;25;3
26348;143;4;0;1;1;5
45953;243;2;22;8;1;2
29034;285;12;2;15;20;56
10072;228;0;10;1;35;41
32666;140;4;6;2;26;4
33401;230;0;6;20;55;50
39514;259;0;14;1;3;24
31591;214;2;5;1;18;53
18335;199;2;20;17;52;53
181;56;6;0;3;30;54
9206;224;4;9;3;3;1
22988;329;0;26;23;56;40
30840;14;0;4;8;41;11
33993;191;0;7;11;44;55
28785;165;0;2;9;19;8
1143;270;0;0;21;41;57
41461;199;1;16;16;27;49
45428;162;2;21;13;56;15
29219;138;1;2;19;56;36
38268;311;0;12;12;47;43
15800;214;0;17;6;13;28
38530;224;2;12;19;27;24
44621;332;4;20;11;43;9
29616;64;3;3;5;21;45
31772;270;0;5;5;51;37
46589;188;0;23;5;25;3
29624;288;1;3;5;28;33
35430;28;0;9;8;2;3
1008;145;0;0;18;56;22
46638;178;4;23;7;30;4
37478;358;6;11;17;20;34
42661;210;10;18;3;55;47
16476;246;1;18;3;39;28
8147;40;0;7;23;30;51
45333;137;0;21;11;4;37
49409;254;2;26;18;38;40
38313;211;12;12;13;43;54
10612;350;2;10;16;51;33
32194;289;0;5;15;20;24
10308;212;1;10;7;56;12
25392;186;0;29;20;48;38
12566;71;0;13;10;34;23
12465;143;0;13;8;23;51
45941;266;2;22;7;23;42
20345;288;2;23;3;10;2
42022;191;5;17;9;52;1
26778;32;0;0;10;46;40
35389;89;0;9;6;41;42
33772;39;0;7;5;39;56
27415;337;6;1;0;5;11
13154;285;6;14;2;32;33
35785;95;0;9;21;15;29
49027;204;4;26;7;15;36
4285;238;0;3;17;30;7
25691;107;2;30;5;40;1
39702;136;0;14;6;46;54
37746;308;0;11;23;39;4
15785;101;0;17;5;42;38
1623;223;0;1;7;40;54
40659;313;8;15;12;15;2
44135;166;8;19;22;13;24
8134;269;4;7;23;11;29
30018;207;5;3;14;9;12
9737;238;2;9;17;35;20
17479;232;4;19;14;3;30
7609;301;0;7;10;49;24
27585;165;0;1;3;59;4
48203;325;6;25;8;55;24
16723;27;0;18;11;42;43
42882;140;0;18;9;44;26
19236;292;0;21;19;23;30
2877;259;0;2;9;28;52
45736;199;0;22;0;52;14
17237;71;0;19;5;20;26
44590;184;2;20;11;5;4
49849;276;0;27;7;15;15
26286;254;0;30;23;32;29
6110;163;0;5;22;11;43
19353;177;0;21;22;18;48
4919;205;0;4;9;21;30
26628;191;0;0;7;34;46
49387;45;0;26;18;10;4
47855;262;0;24;23;14;28
33032;288;0;6;11;24;30
19676;325;0;22;7;59;32
10178;212;12;10;4;32;40
13094;221;8;14;0;59;58
28737;306;0;2;7;39;44
3704;146;4;3;3;53;55
37225;297;2;11;10;46;37
38602;135;0;12;21;37;55
16539;286;0;18;5;37;24
26079;180;0;30;17;24;30
13129;298;2;14;1;51;51
31850;330;2;5;7;40;44
24628;148;0;28;22;20;48
31735;195;0;5;4;46;17
2259;241;0;1;21;1;6
1335;111;0;1;1;59;12
44449;268;6;20;6;42;36
19723;171;0;22;9;26;44
9232;122;0;9;3;40;37
38786;187;0;13;2;58;57
48685;178;4;25;21;37;31
28765;269;0;2;8;44;3
43049;244;0;18;14;49;43
11476;66;0;11;19;10;7
2453;4;11;2;0;40;19
14449;312;8;15;13;44;24
22971;187;4;26;23;24;37
47154;92;0;24;3;24;8
39718;232;0;14;7;30;20
19791;182;0;22;11;15;31
37434;149;0;11;16;11;21
18622;156;0;21;1;30;5
39324;262;1;13;19;4;30
31003;142;2;4;12;13;22
14712;240;0;15;20;53;1
29326;298;0;2;22;43;7
5038;95;2;4;12;48;43
23562;144;2;27;16;21;52
47869;273;3;24;23;35;11
47292;237;3;24;7;3;39
23844;215;0;28;1;16;15
15277;200;2;16;12;42;5
19718;200;0;22;9;18;0
13451;115;2;14;9;48;32
19140;247;4;21;16;28;36
45254;232;0;21;8;29;52
4400;109;0;3;20;20;1
32133;273;0;5;13;52;57
25887;158;2;30;11;24;39
28007;172;2;1;14;11;55
44257;81;2;20;1;38;48
31733;85;0;5;4;45;1
8672;102;0;8;13;11;42
31849;330;0;5;7;40;26
47038;315;0;24;0;12;20
41341;251;0;16;12;55;22
45733;20;0;22;0;45;58
3833;105;0;3;6;52;6
22379;104;0;25;23;40;25
49830;173;6;27;6;38;18
41382;198;0;16;14;12;55
10059;172;0;10;1;12;31
20495;129;0;23;7;54;41
23339;166;4;27;10;45;15
43749;263;0;19;12;2;50
39060;125;0;13;10;42;8
20182;98;4;22;22;3;12
35702;182;2;9;18;5;36
26214;210;8;30;21;25;23
26601;261;12;0;6;45;25
1284;113;0;1;0;33;51
36570;164;0;10;17;48;53
46664;97;0;23;8;46;8
21748;263;0;25;0;9;53
37749;333;2;11;23;45;23
15259;346;0;16;12;10;2
38828;264;0;13;4;0;22
12903;261;0;13;20;14;59
1023;193;0;0;19;15;50
17819;223;0;20;3;23;8
