;day;hour;minute;fail_fee;amount;3D_secured;encoded_PSP;encoded_card;encoded_weekday;current_number_of_try
14115;15;4;45;2;289;0;1;1;6;2
1565;1;6;50;1;218;1;3;2;6;6
19026;21;13;50;1;312;0;3;1;5;1
39312;13;20;20;1;129;0;3;1;4;0
26607;0;7;46;2;103;0;1;1;0;2
39074;13;13;3;0;230;0;2;0;4;0
29080;2;17;29;1;49;0;3;1;3;3
43244;18;22;46;1;201;1;3;1;5;1
3772;3;5;50;2;207;0;1;1;0;0
5853;5;13;48;2;310;1;1;0;3;1
18591;21;1;13;1;298;0;3;2;5;0
34797;8;12;40;2;149;0;1;1;2;0
12090;12;20;55;0;142;0;2;2;3;2
10648;10;18;49;2;10;0;1;1;0;0
46277;22;20;41;1;249;0;3;1;2;3
35368;9;7;45;1;67;0;3;0;3;0
46219;22;18;55;0;114;0;2;1;2;0
7725;7;13;45;1;171;1;3;2;5;0
32199;5;16;50;2;296;1;1;1;6;0
31993;5;12;0;0;237;0;2;1;6;1
17530;19;17;43;2;109;0;1;2;3;0
39086;13;13;33;1;296;0;3;0;4;0
31464;4;23;40;2;299;1;1;1;5;2
48614;25;21;43;1;459;0;3;1;5;0
15936;17;11;27;1;289;1;3;1;0;0
35939;10;3;39;1;252;0;3;1;1;1
18471;20;21;46;1;345;0;3;2;1;0
14350;15;11;28;1;32;0;3;1;6;2
45913;22;8;43;2;107;0;1;1;2;1
24342;28;15;46;1;260;0;3;1;5;0
44092;19;22;44;2;87;1;1;0;6;1
44901;20;22;49;1;235;0;3;1;4;2
23463;27;14;36;1;142;0;3;0;1;0
5129;4;15;17;1;31;0;3;2;2;1
16889;18;17;55;1;294;1;3;1;2;0
18786;21;6;45;1;103;0;3;1;5;2
32763;6;6;2;0;274;0;2;1;4;2
38305;12;15;1;1;305;1;3;0;6;1
18798;21;6;57;0;56;0;2;1;5;0
3242;2;18;4;0;147;0;2;1;4;0
43024;18;15;45;0;200;0;2;1;5;0
30065;3;16;1;2;140;0;1;0;1;0
50198;27;19;56;1;44;1;3;0;4;3
44180;20;1;18;1;238;0;3;0;4;1
5144;4;15;48;2;434;0;1;2;2;1
31733;5;5;58;1;33;1;3;1;6;0
30721;4;6;54;1;197;0;3;1;5;1
979;0;18;23;1;259;0;3;2;5;2
16281;17;21;19;2;13;0;1;0;0;0
22382;26;0;39;1;253;1;3;1;3;0
38515;12;20;35;1;73;0;3;0;6;1
46863;23;19;21;0;149;0;2;0;3;1
14314;15;10;13;2;112;0;1;1;6;0
6282;6;3;1;1;317;1;3;0;1;0
49301;26;17;43;0;105;0;2;0;6;3
25722;30;7;18;2;252;0;1;1;4;3
18695;21;4;24;3;298;1;0;0;5;0
41566;16;22;25;2;115;1;1;1;3;0
5672;5;8;21;1;379;1;3;0;3;0
11416;11;18;3;1;53;0;3;2;2;1
29595;3;5;45;0;71;0;2;1;1;0
20087;22;20;11;3;208;0;0;1;6;0
7586;7;10;34;2;97;0;1;1;5;3
20616;23;12;8;1;317;0;3;1;4;1
14279;15;9;26;1;177;1;3;1;6;0
35947;10;3;54;1;179;0;3;1;1;0
17571;19;19;18;0;262;0;2;1;3;0
30440;4;1;2;0;173;1;2;1;5;0
22374;26;0;26;0;170;0;2;1;3;0
23280;27;9;54;2;138;1;1;2;1;3
10803;10;22;54;3;312;0;0;0;0;0
11808;12;9;7;0;219;1;2;1;3;0
45571;21;20;32;2;178;1;1;1;0;0
22610;26;9;18;2;222;0;1;2;3;0
48123;25;8;48;0;116;1;2;1;5;0
31818;5;7;58;1;121;0;3;2;6;2
21361;24;11;22;1;169;0;3;1;0;0
3074;2;14;36;1;184;0;3;2;4;0
1078;0;20;27;1;189;0;3;1;5;2
14085;15;3;51;1;119;0;3;1;6;0
13694;14;16;40;1;70;0;3;0;5;0
45100;21;5;18;2;81;0;1;2;0;0
5665;5;8;6;1;322;0;3;1;3;1
2989;2;12;16;2;232;0;1;1;4;0
11477;11;20;11;1;214;0;3;1;2;0
45851;22;6;31;3;256;1;0;1;2;2
10824;10;23;34;1;215;1;3;1;0;0
2814;2;8;13;3;93;0;0;0;4;2
7516;7;8;57;1;325;0;3;1;5;3
18923;21;10;33;1;227;0;3;1;5;0
46217;22;18;50;0;15;1;2;0;2;0
961;0;18;6;1;241;0;3;1;5;1
10915;11;2;9;1;270;0;3;2;2;0
1791;1;11;33;1;161;0;3;1;6;0
42171;17;15;45;1;273;0;3;1;1;1
4393;3;20;23;1;152;0;3;1;0;1
39302;13;20;3;1;237;0;3;2;4;1
14424;15;13;42;1;312;0;3;2;6;1
44529;20;11;9;0;57;0;2;1;4;1
41163;16;7;40;1;264;1;3;1;3;1
5749;5;10;34;1;342;1;3;1;3;1
41156;16;7;22;2;212;1;1;1;3;0
39568;14;4;28;0;198;0;2;2;0;0
23352;27;11;47;1;102;0;3;1;1;3
31347;4;20;44;1;30;0;3;0;5;0
14237;15;8;32;1;207;0;3;0;6;0
18554;20;23;59;1;179;1;3;1;1;0
37671;11;23;1;0;256;0;2;1;5;0
4262;3;17;18;1;49;0;3;1;0;0
48999;26;8;49;0;138;0;2;1;6;0
10003;10;0;18;1;13;0;3;1;0;2
1800;1;11;46;0;405;0;2;0;6;0
45166;21;7;45;1;108;0;3;2;0;1
13375;14;8;24;1;114;0;3;0;5;0
40407;15;6;4;3;191;0;0;1;2;0
41255;16;11;56;2;15;0;1;1;3;0
25217;29;16;33;3;258;1;0;2;6;0
42660;18;5;48;1;90;0;3;0;5;0
38407;12;17;44;3;209;0;0;1;6;1
39364;13;22;2;1;372;0;3;1;4;1
9233;9;4;1;1;252;1;3;1;4;0
36139;10;8;47;1;51;0;3;2;1;1
41066;16;3;50;1;242;0;3;1;3;0
11813;12;9;18;2;355;0;1;1;3;0
34611;8;6;35;1;345;0;3;2;2;0
35299;9;5;18;0;160;0;2;1;3;0
19315;21;21;54;1;320;1;3;2;5;0
48738;26;1;1;0;203;0;2;1;6;0
48796;26;2;27;1;304;0;3;1;6;0
39102;13;14;6;0;241;1;2;2;4;0
6942;6;19;25;0;161;0;2;1;1;0
35267;9;4;11;1;37;0;3;0;3;3
14146;15;5;44;1;309;0;3;1;6;0
30724;4;7;2;1;252;0;3;0;5;0
34198;7;18;45;1;130;0;3;1;0;0
48045;25;6;33;0;78;0;2;1;5;1
5325;4;21;31;0;192;0;2;1;2;0
29982;3;14;19;1;273;0;3;1;1;1
43797;19;14;56;1;423;0;3;1;6;0
13130;14;2;29;0;317;1;2;0;5;0
22882;26;21;1;3;117;0;0;1;3;0
27217;0;20;49;2;213;0;1;2;0;1
47257;24;8;6;1;6;1;3;0;1;0
12487;13;9;13;2;56;0;1;1;1;0
32918;6;9;47;1;215;0;3;0;4;2
28200;1;19;28;1;203;0;3;1;2;1
5857;5;14;7;2;152;0;1;2;3;0
39337;13;21;8;3;321;0;0;2;4;0
15296;16;14;0;1;179;0;3;0;4;1
15247;16;12;27;1;236;0;3;1;4;1
42305;17;19;20;1;130;0;3;1;1;1
31579;5;2;10;1;152;1;3;1;6;0
29934;3;13;20;2;92;0;1;0;1;0
24488;28;19;38;1;271;0;3;1;5;1
37736;12;0;45;1;224;0;3;1;6;0
24582;28;22;1;1;17;0;3;0;5;0
28245;1;20;26;2;265;0;1;1;2;0
12514;13;9;47;0;236;0;2;1;1;3
22141;25;15;48;1;41;0;3;1;2;0
42995;18;14;57;1;40;0;3;2;5;2
25087;29;12;40;1;251;0;3;1;6;2
25012;29;10;28;1;167;0;3;0;6;1
32143;5;15;16;0;105;0;2;1;6;2
10123;10;3;27;1;344;0;3;1;0;2
48350;25;14;3;1;355;1;3;1;5;0
32030;5;12;44;3;176;0;0;0;6;2
31434;4;22;51;0;277;1;2;1;5;4
7195;7;1;2;1;7;0;3;1;5;1
3579;3;1;18;1;74;0;3;1;0;0
41192;16;9;3;3;362;0;0;1;3;0
11214;11;11;1;0;92;1;2;2;2;0
45996;22;11;38;0;441;0;2;1;2;0
8471;8;8;33;1;124;0;3;1;6;1
4204;3;16;1;2;183;0;1;0;0;0
6957;6;19;42;1;290;1;3;1;1;1
9163;9;2;26;1;72;0;3;1;4;3
23951;28;4;41;1;306;0;3;1;5;1
50232;27;21;3;0;353;0;2;2;4;0
33973;7;12;31;0;309;0;2;0;0;0
49540;27;0;35;0;176;0;2;1;4;0
33255;6;18;32;0;48;0;2;1;4;0
1;0;0;1;1;83;0;3;2;5;1
31002;4;13;14;3;204;0;0;1;5;0
31298;4;19;51;2;319;0;1;2;5;1
7648;7;12;13;2;278;0;1;1;5;0
4217;3;16;21;2;114;0;1;1;0;3
36890;11;3;19;1;199;0;3;1;5;1
1185;0;22;40;2;154;0;1;1;5;0
46388;22;23;56;1;207;0;3;0;2;0
23809;28;1;8;1;298;0;3;2;5;0
12980;13;22;30;2;264;0;1;1;1;0
43869;19;16;46;1;185;1;3;1;6;1
5386;4;23;11;0;209;0;2;1;2;0
43891;19;17;17;0;61;0;2;1;6;0
10262;10;7;2;3;159;1;0;1;0;0
49461;26;22;19;1;212;0;3;0;6;0
29194;2;20;20;0;99;0;2;1;3;0
43331;19;1;25;2;111;0;1;1;6;0
11029;11;5;32;2;3;0;1;1;2;0
43079;18;17;6;1;161;0;3;2;5;1
3979;3;10;22;0;358;0;2;1;0;1
7090;6;22;37;1;227;1;3;1;1;1
37619;11;21;41;2;273;0;1;0;5;0
34480;8;3;2;1;229;1;3;1;2;0
17721;20;1;23;0;132;0;2;1;1;0
42231;17;17;13;0;97;0;2;2;1;0
23647;27;20;10;1;35;0;3;1;1;1
40319;15;2;51;2;199;0;1;1;2;0
16773;18;14;2;0;249;1;2;1;2;0
28070;1;16;19;2;324;0;1;1;2;0
14614;15;19;5;1;29;1;3;0;6;2
24872;29;6;0;1;278;1;3;1;6;0
37816;12;2;39;1;403;0;3;1;6;6
25044;29;11;26;1;99;0;3;2;6;0
44887;20;22;31;1;298;0;3;2;4;0
7104;6;23;1;0;98;0;2;0;1;0
17757;20;2;2;0;288;0;2;1;1;0
16437;18;3;4;1;247;0;3;2;2;0
4056;3;12;21;1;275;0;3;1;0;3
48750;26;1;19;1;63;0;3;1;6;1
14361;15;11;52;3;101;0;0;0;6;0
7191;7;0;57;1;74;0;3;1;5;1
33508;7;0;36;0;145;0;2;0;0;3
938;0;17;41;1;258;0;3;2;5;5
18338;20;18;30;2;250;1;1;1;1;0
24317;28;14;57;1;191;1;3;1;5;0
32061;5;13;28;1;219;0;3;1;6;1
1072;0;20;19;1;200;1;3;1;5;2
43627;19;10;18;2;161;0;1;1;6;0
34882;8;15;27;0;137;0;2;1;2;0
32422;5;22;5;1;108;0;3;1;6;1
46839;23;18;42;0;221;0;2;2;3;4
19002;21;13;12;1;291;0;3;1;5;3
16243;17;20;15;1;6;1;3;2;0;0
28279;1;21;8;1;52;0;3;2;2;0
26772;0;11;18;1;93;0;3;0;0;0
20277;23;2;4;1;107;0;3;0;4;4
45544;21;19;50;0;161;0;2;1;0;0
20153;22;22;2;1;98;1;3;0;6;0
38109;12;9;53;1;262;0;3;2;6;1
30055;3;15;49;1;172;0;3;1;1;1
19101;21;16;5;1;258;1;3;1;5;0
90;0;1;38;1;318;0;3;2;5;0
33275;6;18;57;1;157;0;3;0;4;1
23479;27;14;58;1;207;0;3;0;1;1
12728;13;16;11;1;226;0;3;0;1;0
13791;14;19;25;1;147;0;3;1;5;1
44616;20;13;23;0;169;1;2;1;4;0
36217;10;10;33;1;295;0;3;0;1;1
498;0;9;44;1;107;0;3;2;5;1
22667;26;11;54;1;11;1;3;0;3;3
16100;17;16;14;1;143;0;3;2;0;0
32734;6;5;28;0;221;0;2;2;4;0
48249;25;11;33;0;280;0;2;1;5;0
40663;15;14;20;0;145;0;2;1;2;0
21130;24;3;45;1;216;0;3;0;0;1
13477;14;10;44;0;220;0;2;1;5;1
38886;13;7;10;0;227;0;2;1;4;1
30892;4;10;39;0;163;1;2;1;5;2
5145;4;15;50;3;27;0;0;2;2;0
43226;18;22;1;3;116;1;0;2;5;0
14926;16;3;7;1;164;0;3;1;4;0
7487;7;8;27;1;86;0;3;1;5;0
34137;7;17;25;2;149;0;1;1;0;0
21003;24;0;8;3;247;0;0;1;0;0
21617;24;20;50;1;180;0;3;1;0;7
29596;3;5;46;3;295;0;0;1;1;0
41333;16;14;30;0;332;1;2;0;3;0
21750;25;1;4;3;247;0;0;1;2;0
6493;6;8;27;1;201;0;3;1;1;0
22408;26;1;26;0;257;0;2;0;3;0
26174;30;21;18;0;176;0;2;1;4;0
25691;30;6;26;1;324;1;3;1;4;4
40402;15;5;47;1;29;1;3;1;2;4
41467;16;18;56;1;194;0;3;1;3;0
38924;13;8;17;0;116;0;2;1;4;0
4645;4;2;14;1;367;0;3;1;2;0
37764;12;1;24;3;138;0;0;1;6;0
25980;30;15;36;1;88;0;3;1;4;0
35564;9;15;33;0;122;0;2;1;3;0
19587;22;6;14;1;167;0;3;0;6;1
5757;5;10;46;3;132;0;0;0;3;0
41702;17;2;25;1;44;0;3;2;1;0
19263;21;20;30;3;99;0;0;1;5;0
21289;24;9;2;1;56;0;3;0;0;0
6140;5;23;22;1;188;0;3;2;3;1
6912;6;18;52;2;254;0;1;1;1;0
45888;22;8;1;0;243;0;2;0;2;1
13625;14;14;53;1;106;1;3;0;5;0
31117;4;15;37;2;154;1;1;0;5;0
31420;4;22;36;1;422;0;3;1;5;0
46461;23;2;28;2;250;1;1;2;3;2
31088;4;15;6;0;131;1;2;1;5;0
7361;7;5;12;1;224;1;3;2;5;0
17737;20;1;40;1;174;0;3;0;1;5
1457;1;4;27;2;146;1;1;1;6;0
5201;4;17;40;1;67;1;3;1;2;1
12136;12;22;44;1;31;0;3;0;3;0
19756;22;10;56;1;101;0;3;1;6;0
29368;3;1;9;3;125;0;0;2;1;0
48094;25;8;3;0;119;0;2;2;5;0
32814;6;7;18;1;290;1;3;2;4;0
29397;3;1;48;1;221;1;3;1;1;1
1796;1;11;39;1;40;1;3;2;6;2
39380;13;22;34;2;37;0;1;1;4;0
17193;19;4;46;2;172;1;1;1;3;1
3018;2;13;5;0;305;0;2;1;4;0
12532;13;10;14;0;119;0;2;1;1;0
48303;25;12;48;3;186;0;0;0;5;0
34730;8;10;44;2;212;0;1;2;2;0
28468;2;1;42;0;265;0;2;1;3;0
17657;19;23;27;1;44;0;3;2;3;1
28821;2;11;5;1;191;0;3;1;3;1
49636;27;3;16;1;317;0;3;2;4;0
44649;20;14;44;1;292;0;3;2;4;0
6703;6;13;53;1;202;0;3;2;1;2
32233;5;17;55;0;169;1;2;1;6;0
49159;26;13;26;0;160;1;2;1;6;1
31096;4;15;14;1;351;1;3;1;5;3
2645;2;4;47;1;229;0;3;2;4;0
22087;25;13;34;1;19;0;3;1;2;3
19051;21;14;44;1;146;1;3;1;5;0
186;0;3;35;1;285;0;3;1;5;1
26798;0;11;52;0;364;0;2;2;0;0
8106;7;22;44;1;310;0;3;2;5;1
2166;1;19;27;1;209;0;3;1;6;0
6316;6;3;49;0;155;1;2;1;1;1
30309;3;21;29;1;209;1;3;1;1;0
24025;28;6;58;0;148;0;2;2;5;1
41279;16;12;53;0;31;0;2;0;3;0
49706;27;5;28;1;196;0;3;1;4;1
30672;4;5;46;2;189;0;1;1;5;0
15411;16;17;9;1;74;0;3;0;4;1
45925;22;9;9;1;196;1;3;0;2;1
16201;17;19;7;0;225;1;2;1;0;0
29226;2;21;25;1;347;0;3;0;3;0
4932;4;10;1;1;330;0;3;1;2;2
280;0;5;24;0;241;1;2;1;5;1
23969;28;5;3;1;179;1;3;0;5;0
34053;7;15;23;1;118;0;3;1;0;0
40416;15;6;15;2;130;1;1;1;2;2
39969;14;16;40;1;153;0;3;2;0;0
11396;11;17;0;2;183;0;1;1;2;0
10491;10;13;56;2;232;1;1;0;0;2
37091;11;8;14;0;126;0;2;2;5;0
19721;22;10;1;1;237;0;3;1;6;0
3723;3;4;45;0;97;0;2;2;0;0
24851;29;5;22;1;100;0;3;1;6;0
18446;20;21;3;0;170;1;2;1;1;3
45231;21;9;38;0;235;0;2;2;0;2
3281;2;18;41;2;129;0;1;0;4;1
20066;22;19;46;1;55;0;3;1;6;1
40138;14;21;6;1;139;1;3;2;0;1
44445;20;8;36;0;263;0;2;1;4;0
7732;7;13;53;1;512;0;3;1;5;2
45197;21;8;43;1;72;0;3;1;0;0
48901;26;5;42;1;187;0;3;2;6;0
9701;9;17;11;1;382;0;3;1;4;6
18115;20;12;19;1;118;0;3;1;1;0
14064;15;3;8;1;331;0;3;1;6;0
6319;6;3;52;1;234;1;3;0;1;0
10118;10;3;23;2;229;0;1;1;0;0
37033;11;6;31;1;296;1;3;2;5;2
2845;2;8;59;2;183;0;1;0;4;0
25234;29;16;57;2;215;0;1;1;6;1
38776;13;4;10;1;333;0;3;0;4;1
37516;11;19;19;0;327;0;2;2;5;0
3578;3;1;17;1;314;0;3;1;0;1
25054;29;11;50;0;145;0;2;1;6;0
27619;1;5;42;2;163;0;1;2;2;1
14398;15;13;3;1;210;0;3;2;6;2
45254;21;10;31;1;144;1;3;1;0;1
30265;3;20;31;1;119;0;3;1;1;5
682;0;12;57;1;82;1;3;1;5;2
42055;17;12;15;2;161;0;1;0;1;0
4230;3;16;35;1;81;0;3;1;0;2
5935;5;16;34;0;294;0;2;2;3;0
39738;14;9;57;0;139;1;2;0;0;0
20000;22;17;51;3;159;1;0;0;6;0
11070;11;6;33;1;149;1;3;1;2;0
5001;4;12;11;1;120;0;3;1;2;0
2923;2;10;24;1;105;0;3;0;4;1
30074;3;16;10;1;10;1;3;2;1;3
18332;20;18;24;3;73;0;0;1;1;0
30240;3;20;2;2;212;1;1;1;1;0
2691;2;5;54;1;455;0;3;2;4;2
7827;7;15;58;0;39;0;2;0;5;0
4811;4;7;3;1;127;0;3;1;2;1
35782;9;23;34;3;219;0;0;1;3;0
3446;2;21;56;1;270;0;3;0;4;1
39333;13;20;59;1;78;0;3;1;4;0
12350;13;5;22;1;31;0;3;0;1;1
31737;5;6;5;1;129;1;3;0;6;0
34715;8;10;12;1;69;0;3;1;2;1
8156;7;23;53;1;202;0;3;0;5;0
28751;2;9;30;0;107;1;2;0;3;0
16027;17;13;57;0;241;0;2;1;0;2
44665;20;15;7;1;274;0;3;1;4;0
49529;27;0;10;1;217;0;3;1;4;1
50057;27;15;37;1;231;1;3;1;4;0
39173;13;16;31;0;108;0;2;1;4;0
21745;25;0;51;1;287;0;3;0;2;0
22046;25;12;19;1;55;0;3;1;2;1
25320;29;19;39;2;310;0;1;1;6;0
44727;20;16;58;1;240;0;3;0;4;2
43448;19;4;43;1;236;0;3;1;6;0
21728;25;0;18;1;253;0;3;2;2;0
1231;0;23;27;1;261;0;3;1;5;2
7751;7;14;21;1;227;0;3;1;5;2
108;0;1;57;0;184;0;2;0;5;1
40589;15;12;8;0;172;0;2;1;2;0
34476;8;2;55;1;116;0;3;1;2;2
34655;8;8;19;1;263;0;3;1;2;0
26702;0;9;50;2;84;0;1;1;0;1
18285;20;17;14;1;111;0;3;1;1;0
3529;2;23;55;1;61;0;3;0;4;0
3110;2;15;20;2;342;0;1;2;4;0
22182;25;17;28;0;174;0;2;2;2;0
46076;22;14;12;1;205;1;3;1;2;4
25627;30;4;44;1;20;0;3;1;4;0
45509;21;18;20;2;47;0;1;1;0;0
45439;21;16;27;1;288;0;3;2;0;0
17726;20;1;30;0;148;0;2;1;1;0
12347;13;5;19;1;67;0;3;1;1;2
20512;23;9;12;0;72;0;2;1;4;2
20189;22;23;8;1;111;0;3;1;6;1
14608;15;18;55;1;81;0;3;1;6;0
23041;27;2;39;0;66;0;2;1;1;1
13645;14;15;28;0;278;1;2;0;5;1
1396;1;3;15;0;280;0;2;1;6;2
28863;2;12;17;2;260;0;1;1;3;1
19854;22;13;48;1;234;0;3;1;6;1
27316;0;22;50;1;371;1;3;2;0;0
18663;21;3;24;1;249;1;3;0;5;1
45150;21;7;8;1;198;0;3;1;0;1
3141;2;15;56;2;292;1;1;1;4;0
42559;18;2;50;1;160;0;3;1;5;0
41232;16;10;59;1;240;0;3;1;3;1
23882;28;2;51;1;263;0;3;0;5;0
16993;18;21;7;3;93;0;0;2;2;0
7336;7;4;38;1;263;0;3;1;5;2
25484;30;0;20;1;177;0;3;2;4;0
41538;16;21;29;1;173;0;3;0;3;2
4289;3;17;52;1;273;0;3;2;0;1
38309;12;15;7;1;155;0;3;0;6;0
6663;6;12;49;1;134;0;3;1;1;0
19771;22;11;21;0;216;0;2;1;6;0
36944;11;4;35;1;146;0;3;1;5;0
2086;1;17;42;1;164;1;3;0;6;1
3202;2;17;18;1;86;0;3;1;4;5
46147;22;16;17;0;241;1;2;0;2;1
30460;4;1;29;0;336;0;2;1;5;0
10444;10;12;28;1;230;0;3;1;0;3
49922;27;12;2;1;93;0;3;0;4;0
39473;14;1;28;2;155;0;1;1;0;1
24157;28;10;46;3;218;0;0;1;5;0
30765;4;7;48;1;319;0;3;1;5;0
8288;8;3;31;2;185;1;1;2;6;3
33810;7;8;23;1;248;0;3;1;0;0
33544;7;1;25;2;309;0;1;1;0;1
29801;3;10;36;2;192;0;1;1;1;0
2323;1;22;37;1;260;0;3;1;6;0
35721;9;20;53;1;158;0;3;0;3;2
14532;15;16;40;1;239;0;3;1;6;0
39489;14;1;49;1;37;0;3;1;0;0
36896;11;3;30;1;289;0;3;1;5;3
39285;13;19;30;0;226;0;2;1;4;0
21222;24;6;57;1;74;0;3;1;0;1
24913;29;7;11;0;202;0;2;1;6;0
10365;10;9;39;1;269;0;3;1;0;1
22533;26;6;18;0;213;0;2;1;3;3
6753;6;15;11;1;137;0;3;2;1;1
8480;8;8;38;0;189;0;2;0;6;8
22079;25;13;24;0;30;0;2;1;2;0
34630;8;7;37;1;236;0;3;2;2;0
33962;7;12;18;0;328;0;2;1;0;0
36251;10;11;12;2;179;0;1;1;1;1
49681;27;4;44;0;135;0;2;1;4;2
38493;12;19;58;1;69;0;3;1;6;0
31014;4;13;28;1;188;0;3;0;5;5
18661;21;3;21;0;219;0;2;2;5;0
10855;11;0;12;0;274;0;2;1;2;1
14200;15;7;21;1;20;0;3;1;6;1
45158;21;7;17;2;50;0;1;1;0;0
39652;14;7;17;0;147;0;2;0;0;0
4546;3;23;43;0;87;0;2;1;0;0
16511;18;5;31;0;357;0;2;1;2;0
33492;7;0;17;1;304;0;3;2;0;1
42186;17;16;6;0;97;0;2;1;1;2
6149;5;23;36;0;126;1;2;0;3;2
39305;13;20;9;0;274;0;2;1;4;1
28888;2;12;48;0;91;0;2;2;3;3
44753;20;17;53;1;291;0;3;0;4;0
37267;11;13;11;2;87;0;1;0;5;0
8632;8;12;22;1;177;0;3;0;6;0
22348;25;23;35;1;183;0;3;1;2;0
20427;23;6;15;2;275;0;1;1;4;1
22600;26;8;54;0;213;1;2;2;3;0
13400;14;8;58;1;152;0;3;2;5;0
40741;15;16;8;1;222;0;3;1;2;5
43710;19;12;34;1;196;1;3;1;6;1
47920;25;3;13;0;223;0;2;0;5;0
28186;1;18;59;1;144;0;3;2;2;0
40283;15;1;40;0;217;1;2;1;2;0
19681;22;8;51;2;297;0;1;1;6;0
31361;4;21;1;1;262;0;3;0;5;0
1323;1;1;46;1;150;0;3;2;6;3
17298;19;8;14;2;93;0;1;2;3;0
16053;17;14;48;1;403;1;3;1;0;0
17990;20;8;42;1;242;0;3;0;1;1
43452;19;4;47;2;265;0;1;2;6;0
34284;7;20;55;0;261;0;2;0;0;0
30925;4;11;30;1;38;0;3;0;5;0
10351;10;9;18;0;173;0;2;1;0;0
49263;26;16;26;1;113;0;3;1;6;0
30146;3;17;46;1;340;0;3;1;1;2
608;0;11;39;1;0;0;3;1;5;5
23105;27;4;12;2;120;0;1;1;1;0
13614;14;14;33;2;128;0;1;2;5;2
37690;11;23;39;0;308;0;2;1;5;0
42032;17;11;48;1;111;0;3;2;1;0
45934;22;9;33;0;347;0;2;1;2;0
17004;18;21;34;1;405;0;3;1;2;1
37600;11;21;14;1;152;0;3;1;5;6
17698;20;0;42;1;164;0;3;0;1;1
37670;11;23;0;0;225;0;2;2;5;0
18152;20;13;22;0;308;0;2;1;1;0
48615;25;21;45;0;306;0;2;1;5;0
47867;25;1;30;0;167;1;2;0;5;0
383;0;7;49;1;208;0;3;2;5;0
25164;29;15;11;0;323;0;2;1;6;0
21231;24;7;13;1;120;0;3;1;0;0
14528;15;16;34;2;261;0;1;0;6;0
24922;29;7;36;3;100;1;0;2;6;0
30231;3;19;51;1;32;0;3;2;1;0
46178;22;17;26;1;121;0;3;0;2;2
13539;14;12;12;1;130;0;3;1;5;1
14203;15;7;28;1;176;1;3;0;6;0
49899;27;11;22;1;106;0;3;1;4;0
475;0;9;22;0;119;1;2;2;5;0
42853;18;10;55;1;26;0;3;1;5;0
18627;21;2;28;0;236;0;2;1;5;0
28435;2;0;47;1;57;0;3;1;3;0
49189;26;14;14;0;335;1;2;1;6;0
1467;1;4;45;2;326;0;1;0;6;1
32809;6;7;9;2;406;0;1;1;4;1
6724;6;14;29;2;230;0;1;1;1;0
11753;12;6;57;1;164;0;3;2;3;0
